season,week,game_id,posteam,passer_player_name,passer_player_id,defteam,roof,is_home,l16_passing_yards,l16_yards_per_attempt,l16_attempts,l16_pass_td,l16_int,l16_wp,def16_passing_yards,def16_yards_per_attempt,def16_attempts,def16_pass_td,def16_int,def16_wp,pass_touchdown
2009,2,2009_02_IND_MIA,MIA,C.Pennington,00-0019559,IND,0,1,225.0,7.318973443307128,31.5,1.1875,0.6875,0.5481433796334224,191.5625,5.757086053493153,33.375,0.375,1.0,0.4101076349096384,0.0
2009,2,2009_02_MIN_DET,DET,M.Stafford,32013030-2d30-3032-3634-39382e08c011,MIN,1,1,198.0,5.2105263157894735,38.0,0.0,3.0,0.11368324061071403,214.8125,5.825104063588516,36.625,0.9375,0.75,0.4405293705702063,1.0
2009,2,2009_02_MIN_DET,MIN,B.Favre,00-0005106,DET,1,0,197.5625,5.773210782209808,34.75,1.3125,1.375,0.5155197463429215,244.4375,7.768156664349583,31.0,1.875,0.3125,0.6879072570712108,2.0
2009,2,2009_02_NE_NYJ,NE,T.Brady,32013030-2d30-3031-3935-39361b587621,NYJ,0,0,222.0,6.74025974025974,33.5,1.0,0.5,0.4569477540555761,229.4375,6.104419024989896,37.625,1.3125,0.875,0.4174354729035472,0.0
2009,2,2009_02_NE_NYJ,NYJ,M.Sanchez,32013030-2d30-3032-3638-3938d10b93b9,NE,0,1,272.0,8.774193548387096,31.0,1.0,1.0,0.721379933818694,200.125,6.491697170578013,31.25,1.75,0.8125,0.4040738826270138,1.0
2009,2,2009_02_NO_PHI,NO,D.Brees,32013030-2d30-3032-3035-33318e1e348d,PHI,0,0,312.125,7.89074068759143,40.625,2.3125,1.0625,0.5043955546525998,176.25,4.998015204756164,35.6875,1.0625,1.1875,0.3827068777142467,3.0
2009,2,2009_02_NO_PHI,PHI,K.Kolb,32013030-2d30-3032-3534-32335132798a,NO,0,1,29.4,3.647603121516165,9.4,0.0,0.8,0.7569003392808021,221.5625,6.69598859942462,34.5625,1.25,1.0625,0.4517888611482423,2.0
2009,2,2009_02_NYG_DAL,DAL,T.Romo,32013030-2d30-3032-3136-37385976e857,NYG,0,1,262.07142857142856,7.598986688113722,35.714285714285715,2.0714285714285716,1.0,0.5493218652139833,205.1875,6.086246370693663,34.5,1.0625,1.1875,0.38755015474936383,1.0
2009,2,2009_02_NYG_DAL,NYG,E.Manning,32013030-2d30-3032-3238-3033cc58aa39,DAL,0,0,190.125,6.147248856680318,31.1875,1.1875,0.75,0.5639347587337191,198.125,5.481613700981514,36.6875,1.1875,0.5,0.4588573925016475,2.0
2009,2,2009_02_OAK_KC,KC,M.Cassel,32013030-2d30-3032-3336-3632a25ecc29,LV,0,1,217.375,6.243479686356524,35.25,1.3125,0.6875,0.5723322604780989,197.75,6.31874971505437,32.375,1.1875,1.0625,0.5537883097367238,1.0
2009,2,2009_02_OAK_KC,LV,J.Russell,00-0025388,KC,0,0,151.5,5.897631937045742,26.8125,0.875,0.625,0.36929582449897036,239.8125,7.03326852539765,34.3125,1.4375,0.875,0.5676797707899149,0.0
2009,2,2009_02_PIT_CHI,CHI,J.Cutler,32013030-2d30-3032-3432-3236d681c61c,PIT,0,1,276.125,6.829719240591302,40.125,1.5,1.375,0.4225307966936683,179.125,4.8113230297821605,36.75,1.0,1.25,0.36941520089593394,2.0
2009,2,2009_02_PIT_CHI,PIT,B.Roethlisberger,32013030-2d30-3032-3239-3234f41ff7f7,CHI,0,0,214.25,6.082837546065819,35.1875,1.0625,1.0,0.543706530609694,235.6875,6.069285790581591,39.5,1.3125,1.375,0.41315521321177817,1.0
2009,2,2009_02_SEA_SF,SEA,S.Wallace,32013030-2d30-3032-3230-353563e50f54,SF,0,0,161.77777777777777,5.428205657965778,28.555555555555557,1.2222222222222223,0.3333333333333333,0.3896927425248888,224.375,6.178335825744505,36.875,1.375,0.875,0.513518721518277,1.0
2009,2,2009_02_SEA_SF,SF,S.Hill,32013030-2d30-3032-3036-3739dd380a34,SEA,0,1,208.0,6.200558074880734,34.7,1.4,0.8,0.4722272142978988,255.5625,6.770386438024746,38.0625,1.4375,0.5625,0.5382017334471121,0.0
2009,2,2009_02_STL_WAS,LA,M.Bulger,00-0019599,WAS,0,0,164.625,4.790293781967302,32.4375,0.6875,0.8125,0.3380529840791281,196.5625,5.996754355630888,33.0625,1.0625,0.8125,0.5278811871387827,1.0
2009,2,2009_02_STL_WAS,WAS,J.Campbell,32013030-2d30-3032-3334-3630311d0939,LA,0,1,190.75,5.7250515964830475,34.125,0.8125,0.4375,0.42615715263335996,208.625,7.1322266653391635,29.625,1.25,0.875,0.6142252102882473,0.0
2009,2,2009_02_TB_BUF,BUF,T.Edwards,32013030-2d30-3032-3534-37392cb6f6b5,TB,0,1,181.13333333333333,6.2836458041557215,28.466666666666665,0.8666666666666667,0.6666666666666666,0.4373891779455087,187.875,6.127927078404935,31.25,1.4375,1.3125,0.4766800486965461,2.0
2009,2,2009_02_TB_BUF,TB,B.Leftwich,32013030-2d30-3032-3231-3737dee12508,BUF,0,0,79.57142857142857,5.824767711962834,11.571428571428571,0.42857142857142855,0.0,0.7182830106964578,216.375,6.6222168212438195,33.0,0.9375,0.625,0.5787506415931828,3.0
2009,3,2009_03_ATL_NE,ATL,M.Ryan,32013030-2d30-3032-3631-34338634c9b6,NE,0,0,217.75,7.422192621854992,30.6875,1.3125,0.75,0.5955876238656971,199.1875,6.509182289625632,31.0,1.75,0.75,0.42579172396484793,0.0
2009,3,2009_03_ATL_NE,NE,T.Brady,32013030-2d30-3031-3935-39361b587621,ATL,0,1,220.0,6.025421387123515,38.0,0.6666666666666666,0.6666666666666666,0.4381209834997941,234.125,6.305132843413111,36.5625,1.25,0.5625,0.3545643414190145,1.0
2009,3,2009_03_CAR_DAL,CAR,J.Delhomme,32013030-2d30-3030-3431-36314534ade6,DAL,1,0,198.3125,7.492781480286412,27.0625,1.0,1.3125,0.5135240973832604,202.875,5.637181736925031,36.5,1.25,0.5,0.4648140641960965,1.0
2009,3,2009_03_CAR_DAL,DAL,T.Romo,32013030-2d30-3032-3136-37385976e857,CAR,1,1,253.06666666666666,7.384341598561313,35.266666666666666,2.0,1.1333333333333333,0.5453278156538751,210.625,5.735440146619685,37.1875,1.375,0.875,0.43648284113839203,0.0
2009,3,2009_03_CHI_SEA,CHI,J.Cutler,32013030-2d30-3032-3432-3236d681c61c,SEA,0,0,269.625,6.79766795854002,39.3125,1.375,1.3125,0.4063784129101704,246.25,6.593370308992488,37.5,1.375,0.5625,0.5656030837555436,3.0
2009,3,2009_03_CHI_SEA,SEA,S.Wallace,32013030-2d30-3032-3230-353563e50f54,CHI,0,1,158.3,5.4375590052126785,28.0,1.2,0.4,0.35833672882545636,242.0,6.146566195986996,40.3125,1.375,1.375,0.43058469493949114,1.0
2009,3,2009_03_CLE_BAL,BAL,J.Flacco,32013030-2d30-3032-3631-3538c6a10853,CLE,0,1,178.0,6.311884427587643,28.5625,1.1875,0.625,0.5958192215277107,196.0625,6.504977348146885,29.5625,1.1875,1.375,0.55533083934002,1.0
2009,3,2009_03_CLE_BAL,CLE,D.Anderson,32013030-2d30-3032-3336-343575bf3e08,BAL,0,0,152.9,5.179203025507286,30.0,0.9,0.8,0.4265739128322491,212.8125,5.650581366995743,37.5625,1.0625,1.625,0.34410680768927654,0.0
2009,3,2009_03_DEN_OAK,DEN,K.Orton,32013030-2d30-3032-3335-34312c37f3ed,LV,0,0,198.4375,5.887079954304621,33.75,1.25,0.75,0.5679786067849191,203.9375,6.483903539888073,32.1875,1.1875,1.0625,0.574834677132948,1.0
